No,Name,Standard,Count,Unit[kg],Mass[kg]
1,mainShaftBrg,,1,9.64,9.64
2,buffle,,1,728.07,728.07
3,skimmerBrade,,1,66.03,66.03
4,pipeSkimmerBrg,,1,72.01,72.01
5,pipeSkimmerBody,,1,300.13,300.13
6,pipeSkimmerRod,,1,5.81,5.81
7,pipeSkimmerControlDevice,,1,120,120
8,pkipeSkimmerRod,,1,5.73,5.73
9,DriveSystem,,1,1144.35,1144.35
10,inflowPipe,,1,674.23,674.23
11,centerWell,,1,839.88,839.88
12,centerWellSupport,,1,570.56,570.56
13,sludgePipe,,1,203.63,203.63
14,rakeAssy,,2,598.04,1196.08
15,mainShaft,,1,1647.57,1647.57
16,bridge_s,,1,3411.66,3411.66
,,,,,10995.4
